text,label
Hasta la vista,goodbye
Laters,goodbye
Good night,goodbye
Take care buddy,goodbye
Okay bye,goodbye
Goodbye bot,goodbye
Stay healthy,goodbye
Bye wellness assistant,goodbye
I'll chat later,goodbye
Khuda hafiz,goodbye
Bye for now,goodbye
Au revoir,goodbye
Hasta luego,goodbye
Take care wellness bot,goodbye
General health info please,general_query
Tell me something useful,general_query
How do I get healthier?,general_query
Can you help me become fit?,general_query
What should I eat today?,general_query
How can I sleep better?,general_query
Do I need a medical checkup?,general_query
Can you help with my wellness?,general_query
What is a balanced diet?,general_query
How do I prevent getting sick?,general_query
मुझे अपनी सेहत सुधारनी है,general_query
Home remedies for cold,general_query
Can you guide my health plan?,general_query
I want to improve my habits,general_query
Should I exercise daily?,general_query
Any tips for hydration?,general_query
Why is sleep important?,general_query
Tell me a healthy recipe,general_query
Guidance for starting yoga,general_query
Advice for students,general_query
What are common nutrients?,general_query
Is daily walking enough?,general_query
Which fruits are best?,general_query
Advice for office workers,general_query
How to keep my kids healthy?,general_query
Any health tips for elders?,general_query
How to boost metabolism?,general_query
What’s a wellness plan?,general_query
Explain body mass index,general_query
Why is breakfast necessary?,general_query
Useful wellness info please,general_query
Tell me about asthma,disease_advice
What should I know about diabetes,disease_advice
Give me info on dengue,disease_advice
How to manage hypertension,disease_advice
Tell me about migraine,disease_advice
What is the treatment for malaria,disease_advice
Explain asthma symptoms,disease_advice
How to prevent asthma,disease_advice
नमस्ते,greeting
शुभ प्रभात,greeting
कैसे हो,greeting
सलाम,greeting
हैलो वेलनेस,greeting
आपका दिन शुभ हो,greeting
नमस्कार,greeting
गुड मॉर्निंग,greeting
सुप्रभात,greeting
हाय,greeting
मुझे सिरदर्द है,symptom
मुझे बुखार है,symptom
मेरे पेट में दर्द है,symptom
मुझे चक्कर आ रहे हैं,symptom
मेरी आंखों के सामने अंधेरा छा जाता है,symptom
मुझे बहुत कमजोरी लग रही है,symptom
बार-बार छींक आ रही है,symptom
मेरी पीठ में दर्द है,symptom
मैं ठीक महसूस नहीं कर रहा हूँ,symptom
मेरी त्वचा में खुजली है,symptom
खून बहना बंद कैसे करें?,first_aid
जलने पर क्या करें?,first_aid
कट लगने पर तुरंत क्या उपाय करें?,first_aid
स्प्रेइन के लिए क्या करें?,first_aid
अगर कोई बेहोश हो जाए तो क्या करें?,first_aid
नाक से खून आने पर क्या करें?,first_aid
सांस रुक जाए तो मदद कैसे करें?,first_aid
माइनर चोट के लिए फर्स्ट एड,first_aid
दवा लगाने का तरीका बताएं,first_aid
संक्रमण रोकने के उपाय,first_aid
स्वस्थ रहने के सुझाव दीजिए,wellness_tip
डाइट कैसे सुधारें?,wellness_tip
तनाव कम करने के उपाय बताइए,wellness_tip
रोज़ योग करना फायदेमंद है?,wellness_tip
रोजाना व्यायाम कैसे करें?,wellness_tip
दिनभर ऊर्जावान कैसे रहें?,wellness_tip
नींद बेहतर करने के तरीके?,wellness_tip
अगर वजन कम करना है तो क्या करें?,wellness_tip
सेहतमंद नाश्ता क्या है?,wellness_tip
योग या जिम कौन बेहतर है?,wellness_tip
अलविदा,goodbye
फिर मिलेंगे,goodbye
धन्यवाद और अलविदा,goodbye
शुभ रात्रि,goodbye
फिर बात करेंगे,goodbye
आपका दिन शुभ हो,goodbye
अब चलता हूँ,goodbye
बाय,greeting
ख्याल रखना,goodbye
फिर मिलेंगे दोस्त,goodbye
मुझे स्वास्थ्य जानकारी चाहिए,general_query
क्या आप मेरी मदद कर सकते हैं?,general_query
घर पर बुखार का इलाज,general_query
दिनभर ऊर्जावान कैसे रहें?,general_query
स्वस्थ जीवन की सलाह दें,general_query
डाइट टिप्स बताएं,general_query
मुझे अपनी आदतें सुधारनी हैं,general_query
आपको कौन-कौन सी बीमारियों के बारे में जानकारी है?,general_query
बच्चों के लिए स्वास्थ्य सुझाव,general_query
योग कैसे शुरू करें?,general_query
